,SMILES,logS,y2,y3
sample_1,CC(N)=O,1.58,12.463184584386264,17.76955817131583
sample_2,CNN,1.34,3.695744870025329,50.07036128786986
sample_3,CC(=O)O,1.22,19.666299623668408,29.182070356002434
sample_4,C1CCNC1,1.15,-5.492195392993696,29.34930636117824
sample_5,NC(=O)NO,1.12,16.107229804581383,27.895445365097824
sample_6,OCC(O)CO,1.12,2.4897651545852995,49.72630431687968
sample_7,CC(=O)N(C)C,1.11,4.489428046133122,12.701686646739573
sample_8,c1ccnnc1,1.1,1.180379258874687,11.676526943388753
sample_9,c1cncnc1,1.1,7.666439021960552,9.300063304089118
sample_10,OCC(O)C(O)C(O)C(O)CO,1.09,1.742613632163341,85.92982133393994
sample_11,CC(N)CC(=O)O,1.08,22.182249371003127,32.55424946591763
sample_12,C1CNCCN1,1.07,-26.836780816597233,14.756782271735108
sample_13,C1CCNCC1,1.07,-9.49256225639713,26.849178059838923
sample_14,Oc1ccncc1,1.02,18.473037103705188,13.0947884183846
sample_15,Oc1ccccn1,1.02,25.82499952605758,7.141159014788446
sample_16,O=C(O)CCCC(=O)O,1.0,13.911226142379741,17.293373930531743
sample_17,CN1CCOCC1,1.0,-12.472498425190416,22.439945844203702
sample_18,COC(N)=O,0.97,15.473287166835712,22.246410662895624
sample_19,Cn1ccccc1=O,0.96,22.63680363342341,-6.355883544838447
sample_20,O=C(O)CCl,0.93,19.563837801579634,22.276283515190475
sample_21,CCOC(N)=O,0.85,15.838562906771598,22.905439528818363
sample_22,COC(=O)C1=CCCN(C)C1,0.81,1.9213493057343336,11.825280269863692
sample_23,Oc1cccc(O)c1,0.81,18.502349442422304,11.979201584346988
sample_24,c1ccncc1,0.76,9.77165369082182,6.637906378512366
sample_25,CC1CNCCN1,0.74,-10.658054176351575,21.65189329331146
sample_26,OCC1(O)OCC(O)C(O)C1O,0.64,0.24703505807282963,59.491263253799396
sample_27,Oc1ccccc1O,0.62,15.549277905840661,10.759350376693085
sample_28,NC(=O)c1cccnc1,0.61,22.08554673682685,1.1502725060598222
sample_29,O=c1ccnc[nH]1,0.59,24.011877310521815,-0.9761415569665386
sample_30,CCC=O,0.58,8.810490516431365,18.936480904991626
sample_31,COC=O,0.58,12.743337960408535,25.605513405129905
sample_32,C=CC=O,0.57,10.700511185226091,21.15893140760889
sample_33,C1CCOC1,0.56,-4.289653186354921,17.872880040893154
sample_34,CCC(C)=O,0.52,9.77714570023992,20.191327530906015
sample_35,CC1CNC(C)CN1,0.49,-27.679617577262214,19.8238687736163
sample_36,COCOC,0.48,-10.533137114780008,20.72368787569258
sample_37,Cc1cccc(C)n1,0.45,8.412558537936098,11.361836221466927
sample_38,Cc1ccc(C)nc1,0.4,12.17319634443903,12.867100692510414
sample_39,OC1COC(O)C(O)C1O,0.39,-0.2608920956874209,50.424178102160205
sample_40,Cc1ccnc(C)c1,0.38,13.35934371906849,15.331545910663749
sample_41,Cc1cccnc1C,0.38,13.847194616692772,13.39807164497464
sample_42,O=c1cccc2n1CC1CNCC2C1,0.36,-2.7706664444967317,-11.194131253928234
